,y,frequency
1237,9075,2
1238,9115,1
1239,9120,1
1240,9130,1
1241,9185,1
1242,9215,1
1243,9225,1
1244,9230,1
1245,9280,1
1246,9285,1
1247,9300,1
1248,9305,1
1249,9320,1
1250,9335,1
1251,9340,1
1252,9370,1
1253,9375,1
1254,9385,1
1255,9390,1
1256,9395,1
1257,9425,1
1258,9475,3
1259,9480,1
1260,9515,1
1261,9535,1
1262,9550,1
1263,9565,1
1264,9575,1
1265,9590,1
1266,9600,1
1267,9610,1
1268,9640,1
1269,9665,1
1270,9680,1
1271,9685,1
1272,9720,1
1273,9725,1
1274,9730,1
1275,9735,1
1276,9740,1
1277,9755,1
1278,9815,1
1279,9820,1
1280,9845,1
1281,9865,1
1282,9870,2
1283,9920,1
1284,9950,1
1285,10000,1
1286,10015,1
1287,10020,1
1288,10030,1
1289,10035,2
1290,10065,1
1291,10075,1
1292,10095,1
1293,10105,1
1294,10120,1
1295,10125,1
1296,10130,1
1297,10150,1
1298,10195,1
1299,10230,1
1300,10295,2
1301,10320,1
1302,10330,2
1303,10340,1
1304,10355,2
1305,10380,1
1306,10400,1
1307,10435,1
1308,10440,1
1309,10470,1
1310,10480,1
1311,10490,1
1312,10525,1
1313,10530,1
1314,10545,1
1315,10555,1
1316,10595,1
1317,10640,1
1318,10645,1
1319,10685,1
1320,10695,2
1321,10705,1
1322,10710,1
1323,10715,1
1324,10740,1
1325,10765,2
1326,10775,1
1327,10815,1
1328,10825,1
1329,10900,1
1330,10905,1
1331,10970,1
1332,10975,2
1333,11000,1
1334,11025,2
1335,11055,1
1336,11060,1
1337,11065,1
1338,11085,1
1339,11130,1
1340,11140,1
1341,11150,1
1342,11160,1
1343,11185,1
1344,11215,1
1345,11220,1
1346,11260,1
1347,11360,1
1348,11390,2
1349,11415,1
1350,11440,1
1351,11515,1
1352,11530,1
1353,11540,1
1354,11555,2
1355,11615,1
1356,11625,1
1357,11650,1
1358,11680,1
1359,11690,1
1360,11705,2
1361,11765,2
1362,11770,1
1363,11780,1
1364,11815,1
1365,11820,1
1366,11825,2
1367,11850,1
1368,11860,2
1369,11880,1
1370,11945,1
1371,11975,1
1372,11995,1
1373,12005,1
1374,12015,1
1375,12040,1
1376,12085,1
1377,12115,1
1378,12155,1
1379,12160,1
1380,12220,1
1381,12255,1
1382,12290,1
1383,12310,1
1384,12325,1
1385,12330,1
1386,12340,2
1387,12355,1
1388,12415,1
1389,12465,1
1390,12470,1
1391,12510,1
1392,12585,1
1393,12645,1
1394,12650,1
1395,12665,1
1396,12675,1
1397,12755,1
1398,12780,1
1399,12795,1
1400,12885,1
1401,12905,1
1402,12920,1
1403,12985,1
1404,13045,1
1405,13075,2
1406,13105,1
1407,13115,1
1408,13175,2
1409,13180,1
1410,13300,1
1411,13365,1
1412,13460,1
1413,13490,1
1414,13535,1
1415,13575,1
1416,13625,1
1417,13635,1
1418,13690,1
1419,13725,1
1420,13755,2
1421,13790,1
1422,13810,1
1423,13835,1
1424,13840,1
1425,13890,2
1426,13900,1
1427,13915,1
1428,14000,1
1429,14015,1
1430,14040,1
1431,14075,1
1432,14110,1
1433,14170,1
1434,14195,1
1435,14260,1
1436,14270,1
1437,14285,1
1438,14375,2
1439,14440,1
1440,14495,1
1441,14590,1
1442,14620,1
1443,14650,1
1444,14670,2
1445,14695,2
1446,14710,1
1447,14715,1
1448,14735,1
1449,14750,1
1450,14850,1
1451,15000,1
1452,15055,1
1453,15070,2
1454,15100,1
1455,15160,1
1456,15170,1
1457,15195,1
1458,15315,1
1459,15405,2
1460,15460,1
1461,15650,1
1462,15740,1
1463,15790,1
1464,15890,1
1465,15930,1
1466,15970,1
1467,15990,1
1468,16140,1
1469,16150,1
1470,16255,1
1471,16285,1
1472,16540,1
1473,16590,1
1474,16675,1
1475,16685,1
1476,16720,1
1477,16750,1
1478,16760,1
1479,16775,1
1480,16790,1
1481,16795,1
1482,16875,1
1483,17005,1
1484,17150,1
1485,17190,1
1486,17235,1
1487,17260,1
1488,17330,1
1489,17350,1
1490,17365,2
1491,17385,1
1492,17495,1
1493,17515,1
1494,17615,1
1495,17690,1
1496,17780,1
1497,17820,1
1498,17890,1
1499,17910,1
1500,18120,1
1501,18130,1
1502,18170,1
1503,18265,1
1504,18320,1
1505,18370,1
1506,18400,1
1507,18410,1
1508,18475,1
1509,18580,1
1510,18615,1
1511,18750,1
1512,18765,1
1513,18770,1
1514,18805,1
1515,18910,1
1516,19145,1
1517,19160,1
1518,19230,1
1519,19235,1
1520,19350,1
1521,19400,1
1522,19455,1
1523,19485,1
1524,19545,1
1525,19550,2
1526,19590,1
1527,19595,1
1528,19625,1
1529,19685,1
1530,19715,1
1531,19725,1
1532,19730,2
1533,19880,1
1534,20030,1
1535,20070,1
1536,20085,1
1537,20140,1
1538,20300,1
1539,20320,1
1540,20360,1
1541,20400,1
1542,20755,1
1543,20805,1
1544,20830,1
1545,20920,1
1546,21010,1
1547,21020,1
1548,21130,1
1549,21145,1
1550,21170,1
1551,21225,1
1552,21305,1
1553,21315,1
1554,21320,1
1555,21405,1
1556,21445,1
1557,21540,1
1558,21630,1
1559,21940,1
1560,21985,1
1561,22085,1
1562,22120,1
1563,22170,1
1564,22215,1
1565,22230,1
1566,22400,1
1567,22405,1
1568,22465,1
1569,22505,1
1570,22595,1
1571,22670,1
1572,22675,1
1573,22720,1
1574,22965,1
1575,23015,1
1576,23075,1
1577,23205,1
1578,23230,1
1579,23235,1
1580,23295,1
1581,23415,1
1582,23425,1
1583,23490,1
1584,23520,1
1585,23640,1
1586,23670,1
1587,23680,1
1588,23725,1
1589,23735,2
1590,23740,1
1591,23880,1
1592,24050,1
1593,24240,1
1594,24275,1
1595,24455,1
1596,24575,1
1597,24615,1
1598,24660,1
1599,24915,1
1600,24955,1
1601,24960,1
1602,25000,1
1603,25070,1
1604,25380,1
1605,25460,1
1606,25605,1
1607,25625,1
1608,25835,1
1609,26150,1
1610,26225,1
1611,26290,1
1612,26545,1
1613,26590,2
1614,26650,1
1615,26760,1
1616,26785,1
1617,26865,1
1618,27030,1
1619,27065,1
1620,27410,1
1621,27430,1
1622,27590,1
1623,27650,1
1624,27875,1
1625,27890,1
1626,28000,1
1627,28130,2
1628,28200,1
1629,28205,1
1630,28230,1
1631,28305,1
1632,28645,1
1633,28650,1
1634,28765,1
1635,29040,1
1636,29265,1
1637,29425,1
1638,29475,1
1639,29605,1
1640,29825,1
1641,29830,1
1642,30125,1
1643,30295,1
1644,30405,1
1645,30435,1
1646,30500,1
1647,30930,1
1648,30955,1
1649,31005,1
1650,31115,1
1651,31235,1
1652,31295,1
1653,31310,1
1654,31495,1
1655,31705,1
1656,31750,1
1657,32130,1
1658,32210,1
1659,32325,1
1660,32545,1
1661,32630,1
1662,32680,1
1663,32735,1
1664,33215,1
1665,33275,1
1666,33280,1
1667,33295,1
1668,33390,1
1669,33570,1
1670,33605,1
1671,33705,1
1672,33785,1
1673,33805,1
1674,34175,1
1675,34200,1
1676,35180,1
1677,35465,1
1678,35475,1
1679,35735,1
1680,36205,1
1681,36235,1
1682,36240,1
1683,36455,1
1684,37310,1
1685,37565,1
1686,37730,1
1687,38175,1
1688,38210,1
1689,38425,1
1690,38735,1
1691,38770,1
1692,38885,1
1693,39290,1
1694,39935,1
1695,40205,1
1696,41765,1
1697,42175,1
1698,42290,1
1699,42455,1
1700,42460,1
1701,42585,1
1702,43245,1
1703,43695,1
1704,44110,1
1705,44120,1
1706,45065,1
1707,45490,1
1708,45900,1
1709,46180,1
1710,46885,1
1711,47540,1
1712,47905,1
1713,48230,1
1714,48250,1
1715,48295,1
1716,48385,1
1717,48420,1
1718,48715,1
1719,49005,1
1720,49220,1
1721,49745,1
1722,52255,1
1723,52785,1
1724,52825,1
1725,54240,1
1726,55960,1
1727,58015,1
1728,58550,1
1729,58790,1
1730,59860,1
1731,60270,1
1732,60560,1
1733,60850,1
1734,62965,1
1735,64460,1
1736,64655,1
1737,65295,1
1738,65765,1
1739,65790,1
1740,66160,1
1741,66685,1
1742,66945,1
1743,67420,1
1744,68360,1
1745,68590,1
1746,69260,1
1747,69735,1
1748,71130,1
1749,71610,1
1750,73880,1
1751,74540,1
1752,75100,1
1753,76040,1
1754,78735,1
1755,78870,1
1756,79115,1
1757,79530,1
1758,80815,1
1759,82790,1
1760,83680,1
1761,85465,1
1762,86345,1
1763,86985,1
1764,87120,1
1765,87500,1
1766,88105,1
1767,92835,1
1768,94170,1
1769,96585,1
1770,98525,1
1771,102265,1
1772,103210,1
1773,103640,1
1774,105470,1
1775,110375,1
1776,112500,1
1777,114720,1
1778,116145,1
1779,116360,1
1780,117895,1
1781,120285,1
1782,124435,1
1783,128580,1
1784,128675,1
1785,128860,1
1786,128985,1
1787,129110,1
1788,130115,1
1789,133505,1
1790,137125,1
1791,141345,1
1792,153850,1
1793,161915,1
1794,167955,1
1795,168070,1
1796,169645,1
1797,177500,1
1798,178995,1
1799,185680,1
1800,220340,1
1801,233185,1
1802,235870,1
1803,239325,1
1804,248655,1
1805,255895,1
1806,258690,1
1807,265245,1
1808,280940,1
1809,291385,1
1810,297210,1
1811,312525,1
1812,354505,1
1813,370170,1
1814,388950,1
1815,477885,1
1816,507205,1
1817,579050,1
1818,583620,1
1819,589940,1
1820,693765,1
1821,720435,1
1822,755905,1
1823,832760,1
1824,937160,1
1825,1063380,1
1826,1689590,1
1827,2337605,1
1828,2402980,1
1829,2808800,1
1830,3318215,1
1831,3536980,1
1832,6489035,1
1833,6534780,1
1834,7677510,1
