,epoch,train_loss,train_mse,test_mse,dev_mse,acc_train,acc_test,acc_dev,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,95,61868.916015625,63178.434,98747.31,209577.2,1.1,0.0,0.3,5.042741,7.8940086,9.239213,3.210053,3.6510246,4.493557
0,96,58207.716796875,63101.19,98730.56,209714.78,1.1,0.0,0.3,4.8412986,7.6021104,8.878709,3.175098,3.603854,4.4348454
0,97,65125.09765625,62855.69,98518.33,209723.72,1.1166666666666667,0.0,0.3,4.8460846,7.615761,8.880365,3.1916907,3.6211267,4.450367
0,98,58595.75390625,62422.133,98072.63,209595.22,1.1166666666666667,0.05,0.3,5.110675,8.015527,9.338769,3.2725956,3.716868,4.558356
0,99,58189.72265625,62132.645,97774.15,209661.47,1.1333333333333333,0.05,0.3,5.370568,8.407591,9.787531,3.3510766,3.8106906,4.661822
0,100,62013.91015625,61951.0,97609.89,209840.1,1.15,0.05,0.3,5.5755663,8.71678,10.140212,3.417391,3.8907883,4.7482
0,101,62810.494140625,61823.777,97518.05,210060.6,1.15,0.05,0.3,5.7408814,8.965758,10.424092,3.4753385,3.9614282,4.8233085
0,102,70555.013671875,61635.867,97415.23,210161.03,1.15,0.05,0.3,5.793507,9.045003,10.509503,3.5051944,3.9974308,4.858856
0,103,60909.79296875,61330.848,97254.32,210043.84,1.1666666666666667,0.05,0.3,5.7014627,8.9073105,10.341563,3.4993618,3.9894028,4.8448095
0,104,58653.263671875,60976.95,97067.0,209807.45,1.1666666666666667,0.1,0.3,5.4335566,8.507048,9.861773,3.4482188,3.9262366,4.7644053
0,105,62986.865234375,60751.465,96989.195,209775.38,1.1833333333333333,0.1,0.3,5.2075744,8.169145,9.453546,3.4068503,3.8769302,4.6962757
0,106,57971.64453125,60654.586,97019.9,209909.34,1.1833333333333333,0.1,0.3,4.948629,7.784166,8.986659,3.3574722,3.819817,4.614753
0,107,59796.623046875,60513.66,96978.95,210030.42,1.1833333333333333,0.1,0.3,4.845692,7.63246,8.796103,3.3477576,3.8100734,4.5914865
0,108,64088.400390625,60245.426,96750.58,210039.12,1.2,0.1,0.3,4.88169,7.6906557,8.848788,3.3697455,3.8357759,4.6130767
0,109,61805.931640625,59871.44,96391.484,209954.7,1.2,0.1,0.3,5.0733447,7.982774,9.177336,3.429245,3.9030182,4.689801
0,110,62222.0859375,59568.6,96098.95,209983.12,1.2166666666666666,0.15,0.3,5.3666906,8.426596,9.687041,3.5149837,4.0011377,4.805673
0,111,58026.892578125,59374.918,95911.01,210121.2,1.2166666666666666,0.15,0.3,5.536042,8.686513,9.976053,3.5688934,4.0622535,4.8734684
0,112,63600.71875,59222.934,95784.734,210303.55,1.2333333333333334,0.15,0.3,5.6857734,8.913553,10.229264,3.6191125,4.1205645,4.936717
0,113,58286.681640625,59021.44,95623.8,210384.84,1.2333333333333334,0.15,0.3,5.7234216,8.975275,10.286321,3.6417873,4.1454477,4.959403
0,114,57465.259765625,58676.035,95380.16,210228.45,1.25,0.15,0.3,5.520242,8.677061,9.918607,3.6055098,4.1012836,4.894892
